financial analysis	2000	3	3	1
financial analysis	2002	2	2	1
financial analysis	2004	1	1	1
financial analysis	2005	4	4	3
financial analysis	2006	10	10	7
financial analysis	2007	47	37	17
financial analysis	2008	63	54	31
financial capacity	1899	1	1	1
financial capacity	1997	2	2	2
financial capacity	1998	4	4	2
financial capacity	1999	3	3	3
financial capacity	2000	4	2	2
financial capacity	2003	1	1	1
financial capacity	2004	4	4	3
financial capacity	2005	2	2	2
financial capacity	2006	2	2	2
financial capacity	2007	26	24	17
financial capacity	2008	26	25	19
financial straits	1998	2	2	2
financial straits	1999	1	1	1
financial straits	2000	1	1	1
financial straits	2002	3	3	3
financial straits	2004	1	1	1
financial straits	2005	6	6	6
financial straits	2006	8	8	6
financial straits	2007	8	8	8
financial straits	2008	23	23	20
wind straits	2007	8	8	8
windmill straits	2008	23	23	20
